map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,50,0,1,1,1,87.5052,1,2.9127,0,2314,2298,42,2314,1,1,0
open,50,1,1,1,1,767.635,1,433.608,0,2292,2326,43,2292,1,1,0
open,50,2,1,1,1,51.9017,1,3.764,0,2321,2296,43,2321,1,1,0
open,50,3,1,1,1,192.258,1,7.5773,0,2184,2260,43,2184,3,3,0
open,50,4,1,1,1,625.427,1,30.6148,0,2290,2370,42,2290,1,1,0
open,50,5,1,1,1,31.0032,1,6.9181,0,2298,2260,33,2300,1,1,0
open,50,6,1,1,1,68.3482,1,4.9709,0,2233,2192,36,2235,3,3,0
open,50,7,1,1,1,97.7381,1,4.4835,0,2365,2419,28,2365,1,1,0
open,50,8,1,1,1,205.25,1,4.8468,0,2354,2400,42,2354,2,2,0
open,50,9,1,1,1,20.0445,1,4.6301,0,2531,2509,26,2531,1,1,0
open,50,10,1,1,1,12.7166,1,4.8092,0,2070,2079,26,2072,1,1,0
open,50,11,1,1,1,138.778,1,5.8374,0,2139,2113,33,2139,3,3,0
open,50,12,1,1,1,24.9532,1,2.9168,0,2397,2483,23,2397,1,1,0
open,50,13,1,1,1,103.385,1,6.1007,0,2317,2315,39,2319,1,1,0
open,50,14,1,1,1,264.797,1,3.7378,0,2131,2214,48,2131,1,1,0
open,50,15,1,1,1,6.3705,1,3.3534,0,1961,2056,9,1963,1,1,0
open,50,16,1,1,1,44.5664,1,6.1912,0,1948,1981,28,1948,2,2,0
open,50,17,1,1,1,3.3694,1,3.8772,0,2067,2067,2,2067,1,1,0
open,50,18,1,1,1,106.24,1,112.767,0,2247,2231,41,2247,3,3,0
open,50,19,1,1,1,138.989,1,3.5009,0,2285,2311,43,2285,2,2,0
open,50,20,1,1,1,148.669,1,10.7937,0,2334,2322,48,2334,2,2,0
open,50,21,1,1,1,8.1588,1,3.837,0,2331,2337,16,2333,1,1,0
open,50,22,1,1,1,30.5702,1,3.7232,0,2428,2461,20,2428,1,1,0
open,50,23,1,1,1,47.6679,1,3.7775,0,2270,2310,30,2270,1,1,0
open,50,24,1,1,1,24.0566,1,4.1538,0,2335,2326,30,2335,1,1,0
open,50,25,1,1,1,271.356,1,10.416,0,2324,2364,44,2324,4,4,0
open,50,26,1,1,1,64.6409,1,10.7384,0,2161,2182,37,2161,2,2,0
open,50,27,1,1,1,42.1617,1,3.2525,0,2370,2304,43,2370,1,1,0
open,50,28,1,1,1,25.2923,1,5.9137,0,2188,2270,19,2188,1,1,0
open,50,29,1,1,1,81.5528,1,3.0894,0,2327,2190,45,2327,1,1,0
open,50,30,1,1,1,34.7407,1,10.0896,0,2156,2127,44,2156,1,1,0
open,50,31,1,1,1,22.8071,1,3.4004,0,2159,2179,32,2159,1,1,0
open,50,32,1,1,1,84.4879,1,8.7071,0,2464,2396,32,2464,1,1,0
open,50,33,1,1,1,8.0637,1,3.7648,0,2356,2368,13,2358,1,1,0
open,50,34,1,1,1,77.3984,1,8.8355,0,2427,2378,47,2427,2,2,0
open,50,35,1,1,1,299.082,1,7.3236,0,2402,2500,44,2402,5,5,0
open,50,36,1,1,1,8.1829,1,2.8663,0,2323,2384,7,2323,1,1,0
open,50,37,1,1,1,5.5714,1,2.9418,0,2340,2340,9,2340,1,1,0
