map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,50,0,1,1,1,76.2769,1,6.2915,0,2314,2298,42,2314,1,1,0
open,50,1,1,1,1,540.388,1,331.933,0,2292,2326,43,2292,1,1,0
open,50,2,1,1,1,51.8408,1,3.5122,0,2321,2296,43,2321,1,1,0
open,50,3,1,1,1,177.769,1,13.4481,0,2184,2260,43,2184,3,3,0
open,50,4,1,1,1,558.527,1,29.6804,0,2290,2370,42,2290,1,1,0
open,50,5,1,1,1,19.64,1,6.8688,0,2298,2260,33,2300,1,1,0
open,50,6,1,1,1,75.942,1,9.3701,0,2233,2192,36,2235,3,3,0
open,50,7,1,1,1,105.807,1,2.9164,0,2365,2419,28,2365,1,1,0
open,50,8,1,1,1,197.479,1,6.6755,0,2354,2400,42,2354,2,2,0
open,50,9,1,1,1,17.3026,1,6.3283,0,2531,2509,26,2531,1,1,0
open,50,10,1,1,1,13.9215,1,6.6091,0,2070,2079,26,2072,1,1,0
open,50,11,1,1,1,137.787,1,6.9199,0,2139,2113,33,2139,3,3,0
open,50,12,1,1,1,34.5098,1,4.4553,0,2397,2483,23,2397,1,1,0
open,50,13,1,1,1,87.4457,1,5.498,0,2317,2315,39,2319,1,1,0
open,50,14,1,1,1,291.281,1,5.1975,0,2131,2214,48,2131,1,1,0
open,50,15,1,1,1,9.9629,1,3.1878,0,1961,2056,9,1963,1,1,0
open,50,16,1,1,1,38.6348,1,6.2403,0,1948,1981,28,1948,2,2,0
open,50,17,1,1,1,4.6587,1,3.4032,0,2067,2067,2,2067,1,1,0
open,50,18,1,1,1,69.351,1,89.0931,0,2247,2231,41,2247,3,3,0
open,50,19,1,1,1,141.769,1,4.9289,0,2285,2311,43,2285,2,2,0
open,50,20,1,1,1,149.872,1,7.6767,0,2334,2322,48,2334,2,2,0
open,50,21,1,1,1,6.6707,1,3.6712,0,2331,2337,16,2333,1,1,0
open,50,22,1,1,1,34.02,1,3.1384,0,2428,2461,20,2428,1,1,0
open,50,23,1,1,1,34.4397,1,4.7161,0,2270,2310,30,2270,1,1,0
open,50,24,1,1,1,14.8604,1,3.8696,0,2335,2326,30,2335,1,1,0
open,50,25,1,1,1,269.311,1,18.0547,0,2324,2364,44,2324,4,4,0
