map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,50,0,1,1,1,76.0116,1,4.2225,0,2314,2298,42,2314,1,1,0
open,50,1,1,1,1,551.74,1,318.382,0,2292,2326,43,2292,1,1,0
open,50,2,1,1,1,52.5903,1,3.6669,0,2321,2296,43,2321,1,1,0
open,50,3,1,1,1,192.426,1,13.1814,0,2184,2260,43,2184,3,3,0
open,50,4,1,1,1,485.487,1,28.4609,0,2290,2370,42,2290,1,1,0
open,50,5,1,1,1,20.2792,1,6.7045,0,2298,2260,33,2300,1,1,0
open,50,6,1,1,1,74.004,1,8.7432,0,2233,2192,36,2235,3,3,0
open,50,7,1,1,1,120.092,1,3.2277,0,2365,2419,28,2365,1,1,0
open,50,8,1,1,1,211.872,1,6.613,0,2354,2400,42,2354,2,2,0
open,50,9,1,1,1,19.0808,1,6.075,0,2531,2509,26,2531,1,1,0
open,50,10,1,1,1,12.8505,1,6.5063,0,2070,2079,26,2072,1,1,0
open,50,11,1,1,1,149.836,1,19.2665,0,2139,2113,33,2139,3,3,0
open,50,12,1,1,1,33.6343,1,5.4221,0,2397,2483,23,2397,1,1,0
open,50,13,1,1,1,92.7328,1,3.6412,0,2317,2315,39,2319,1,1,0
open,50,14,1,1,1,250.862,1,5.0839,0,2131,2214,48,2131,1,1,0
open,50,15,1,1,1,7.0433,1,2.8437,0,1961,2056,9,1963,1,1,0
open,50,16,1,1,1,39.3611,1,5.5929,0,1948,1981,28,1948,2,2,0
open,50,17,1,1,1,3.8765,1,3.1545,0,2067,2067,2,2067,1,1,0
open,50,18,1,1,1,84.1308,1,82.6029,0,2247,2231,41,2247,3,3,0
open,50,19,1,1,1,131.742,1,4.3976,0,2285,2311,43,2285,2,2,0
open,50,20,1,1,1,123.933,1,7.1417,0,2334,2322,48,2334,2,2,0
open,50,21,1,1,1,7.8912,1,3.9397,0,2331,2337,16,2333,1,1,0
open,50,22,1,1,1,32.6529,1,3.1869,0,2428,2461,20,2428,1,1,0
open,50,23,1,1,1,25.5112,1,4.7142,0,2270,2310,30,2270,1,1,0
open,50,24,1,1,1,17.1563,1,4.0905,0,2335,2326,30,2335,1,1,0
open,50,25,1,1,1,262.28,1,14.5925,0,2324,2364,44,2324,4,4,0
open,50,26,1,1,1,48.8148,1,7.7683,0,2161,2182,37,2161,2,2,0
open,50,27,1,1,1,37.7421,1,3.9844,0,2370,2304,43,2370,1,1,0
open,50,28,1,1,1,27.2609,1,8.1841,0,2188,2270,19,2188,1,1,0
open,50,29,1,1,1,50.3962,1,4.1347,0,2327,2190,45,2327,1,1,0
open,50,30,1,1,1,29.6445,1,5.0059,0,2156,2127,44,2156,1,1,0
open,50,31,1,1,1,39.1061,1,6.04,0,2159,2179,32,2159,1,1,0
open,50,32,1,1,1,82.7189,1,5.1323,0,2464,2396,32,2464,1,1,0
open,50,33,1,1,1,6.377,1,3.1501,0,2356,2368,13,2358,1,1,0
open,50,34,1,1,1,78.4268,1,6.5174,0,2427,2378,47,2427,2,2,0
open,50,35,1,1,1,263.3,1,12.3135,0,2402,2500,44,2402,5,5,0
open,50,36,1,1,1,5.3223,1,3.1922,0,2323,2384,7,2323,1,1,0
open,50,37,1,1,1,4.8049,1,3.0142,0,2340,2340,9,2340,1,1,0
open,50,38,1,1,1,205.861,1,5.3073,0,2383,2424,40,2385,2,2,0
open,50,39,1,1,1,129.033,1,6.7905,0,1932,2013,42,1932,3,3,0
open,50,40,1,1,1,39.9943,1,12.399,0,2451,2460,36,2451,4,4,0
open,50,41,1,1,1,36.1056,1,74.3636,0,2406,2309,30,2406,3,3,0
open,50,42,1,1,1,75.9761,1,6.1502,0,2241,2263,32,2241,1,1,0
open,50,43,1,1,1,51.5324,1,2.3812,0,2372,2389,42,2372,1,1,0
open,50,44,1,1,1,54.2469,1,15.3781,0,2149,2091,33,2149,1,1,0
open,50,45,1,1,1,45.6225,1,7.0387,0,2418,2343,40,2418,2,2,0
open,50,46,1,1,1,29.3685,1,3.0507,0,2153,2113,46,2153,1,1,0
open,50,47,1,1,1,5.0288,1,4.7003,0,1954,2004,9,1954,1,1,0
open,50,48,1,1,1,68.1341,1,3.0881,0,2001,2029,45,2003,1,1,0
open,50,49,1,1,1,88.2091,1,5.1595,0,2402,2385,35,2404,2,2,0
open,100,0,1,1,1,332.321,1,7.7675,0,4605,4633,91,4605,1,1,0
open,100,1,1,1,1,112.898,1,22.9556,0,4328,4274,71,4330,4,4,0
open,100,2,1,1,1,52.3343,1,8.5126,0,4440,4449,29,4440,1,1,0
open,100,3,1,1,1,396.656,1,23.344,0,4673,4694,78,4673,3,3,0
open,100,4,1,1,1,240.54,1,11.6584,0,4332,4406,65,4332,2,2,0
open,100,5,1,1,1,13.8147,1,8.6523,0,4869,4929,16,4871,1,1,0
open,100,6,1,1,1,621.586,1,37.4855,0,4815,4798,77,4817,6,6,0
open,100,7,1,1,1,227.002,1,20.4551,0,4328,4383,91,4328,6,6,0
open,100,8,1,1,1,89.2973,1,17.6625,0,4552,4619,54,4552,2,2,0
open,100,9,1,1,1,671.068,1,11.5536,0,4729,4802,83,4731,3,3,0
open,100,10,1,1,1,293.746,1,12.9292,0,4532,4632,71,4532,1,1,0
open,100,11,1,1,1,10.3679,1,9.0698,0,4743,4745,5,4745,1,1,0
open,100,12,1,1,1,618.66,1,33.1519,0,4887,4787,93,4887,2,2,0
open,100,13,1,1,1,294.553,1,10.4871,0,4735,4836,82,4735,1,1,0
