map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,5,0,1,1,1,1.1047,1,1.0683,0,86,86,5,86,2,2,0
open,5,1,1,1,1,0.6639,1,0.3067,0,122,124,3,124,1,1,0
open,5,2,1,1,1,0.6027,1,0.4361,0,111,113,4,113,1,1,0
open,5,3,1,1,1,0.8283,1,1.4252,0,92,92,4,94,1,1,0
open,5,4,1,1,1,1.1987,1,0.5331,0,144,146,4,146,1,1,0
open,5,5,1,1,1,0.442,1,0.4546,0,123,127,1,127,1,1,0
open,5,6,1,1,1,0.4607,1,0.5053,0,85,87,1,87,1,1,0
open,5,7,1,1,1,2.4129,1,1.0263,0,122,124,5,124,2,2,0
open,5,8,1,1,1,0.7484,1,0.5548,0,81,81,5,81,1,1,0
open,5,9,1,1,1,0.7803,1,0.8257,0,96,96,2,96,1,1,0
open,5,10,1,1,1,0.3112,1,0.3342,0,118,118,2,118,1,1,0
open,5,11,1,1,1,1.638,1,0.9449,0,128,128,4,128,1,1,0
open,5,12,1,1,1,0.7505,1,0.3866,0,145,145,3,145,1,1,0
open,5,13,1,1,1,0.294,1,0.372,0,131,131,1,131,1,1,0
open,5,14,1,1,1,0.7227,1,0.8021,0,99,99,4,99,1,1,0
open,5,15,1,1,1,0.624,1,0.3859,0,108,110,2,110,1,1,0
open,5,16,1,1,1,0.676,1,0.5319,0,126,128,2,128,1,1,0
open,5,17,1,1,1,2.4911,1,2.2076,0,148,148,5,148,1,1,0
open,5,18,1,1,1,0.698,1,0.8602,0,83,83,3,83,1,1,0
open,5,19,1,1,1,0.3281,1,0.7382,0,88,90,1,90,1,1,0
open,5,20,1,1,1,0.2932,1,0.4489,0,100,100,1,100,1,1,0
open,5,21,1,1,1,1.2433,1,0.3031,0,119,121,3,121,1,1,0
open,5,22,1,1,1,1.6819,1,0.4408,0,107,107,5,107,1,1,0
open,5,23,1,1,1,2.5268,1,0.8644,0,152,154,4,154,1,1,0
open,5,24,1,1,1,0.6319,1,0.9416,0,110,112,3,112,1,1,0
open,5,25,1,1,1,0.8174,1,0.6227,0,136,138,2,138,1,1,0
open,5,26,1,1,1,1.3049,1,0.6138,0,171,173,1,173,1,1,0
open,5,27,1,1,1,0.6769,1,0.6523,0,103,103,3,103,1,1,0
open,5,28,1,1,1,0.9814,1,1.5479,0,121,121,3,121,1,1,0
open,5,29,1,1,1,0.5806,1,0.2385,0,109,109,3,109,1,1,0
open,5,30,1,1,1,1.0184,1,0.4898,0,94,94,5,94,1,1,0
open,5,31,1,1,1,1.5437,1,0.9131,0,89,89,2,89,2,2,0
open,5,32,1,1,1,0.3689,1,0.5496,0,87,89,2,89,1,1,0
open,5,33,1,1,1,1.4659,1,0.5052,0,107,107,5,107,1,1,0
open,5,34,1,1,1,0.9356,1,0.8021,0,142,148,5,146,2,2,0
open,5,35,1,1,1,0.3685,1,0.3606,0,50,50,2,50,1,1,0
open,5,36,1,1,1,0.7548,1,1.7841,0,116,116,3,116,3,3,0
open,5,37,1,1,1,0.608,1,0.5083,0,102,102,4,102,1,1,0
open,5,38,1,1,1,0.4218,1,0.3009,0,87,89,2,89,1,1,0
open,5,39,1,1,1,1.1976,1,0.8624,0,109,111,2,111,1,1,0
open,5,40,1,1,1,0.726,1,0.3075,0,98,100,3,100,1,1,0
open,5,41,1,1,1,0.2821,1,0.3523,0,101,103,1,103,1,1,0
open,5,42,1,1,1,0.963,1,0.6634,0,90,90,4,90,1,1,0
open,5,43,1,1,1,0.5594,1,0.551,0,89,91,2,91,1,1,0
open,5,44,1,1,1,1.702,1,0.5789,0,78,83,3,78,1,1,0
