map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,50,0,1,1,1,79.3491,1,3.4023,0,2314,2298,42,2314,1,1,0
open,50,1,1,1,1,680.486,1,404.303,0,2292,2326,43,2292,1,1,0
open,50,2,1,1,1,44.3989,1,4.3643,0,2321,2296,43,2321,1,1,0
open,50,3,1,1,1,201.657,1,7.921,0,2184,2260,43,2184,3,3,0
open,50,4,1,1,1,521.623,1,25.1316,0,2290,2370,42,2290,1,1,0
open,50,5,1,1,1,20.5727,1,3.2234,0,2298,2260,33,2300,1,1,0
open,50,6,1,1,1,62.9913,1,4.2184,0,2233,2192,36,2235,3,3,0
open,50,7,1,1,1,99.6629,1,2.7939,0,2365,2419,28,2365,1,1,0
open,50,8,1,1,1,193.784,1,5.2737,0,2354,2400,42,2354,2,2,0
open,50,9,1,1,1,16.7105,1,3.2744,0,2531,2509,26,2531,1,1,0
open,50,10,1,1,1,13.7445,1,4.6605,0,2070,2079,26,2072,1,1,0
open,50,11,1,1,1,142.962,1,4.1915,0,2139,2113,33,2139,3,3,0
open,50,12,1,1,1,33.7198,1,3.7237,0,2397,2483,23,2397,1,1,0
open,50,13,1,1,1,102.881,1,2.9434,0,2317,2315,39,2319,1,1,0
open,50,14,1,1,1,294.007,1,5.5918,0,2131,2214,48,2131,1,1,0
open,50,15,1,1,1,6.3821,1,2.7568,0,1961,2056,9,1963,1,1,0
open,50,16,1,1,1,35.7601,1,3.7196,0,1948,1981,28,1948,2,2,0
open,50,17,1,1,1,3.6125,1,4.357,0,2067,2067,2,2067,1,1,0
open,50,18,1,1,1,102.215,1,89.6058,0,2247,2231,41,2247,3,3,0
open,50,19,1,1,1,135.437,1,3.1547,0,2285,2311,43,2285,2,2,0
open,50,20,1,1,1,151.336,1,7.1703,0,2334,2322,48,2334,2,2,0
open,50,21,1,1,1,7.8388,1,3.9101,0,2331,2337,16,2333,1,1,0
open,50,22,1,1,1,29.6247,1,12.5809,0,2428,2461,20,2428,1,1,0
