map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,50,0,1,1,1,67.4916,1,3.6825,0,2314,2298,42,2314,1,1,0
open,50,1,1,1,1,556.428,1,752.507,1,2292,2326,43,2297,2,2,0
open,50,2,1,1,1,68.9268,1,3.4462,0,2321,2296,43,2321,1,1,0
open,50,3,1,1,1,192.23,1,8.5596,0,2184,2260,43,2184,3,3,0
open,50,4,1,1,1,526.809,1,25.8467,0,2290,2370,42,2290,1,1,0
open,50,5,1,1,1,23.0937,1,4.3535,0,2298,2260,33,2300,1,1,0
open,50,6,1,1,1,90.0958,1,102.515,-1,2233,2192,36,2192,36,50,0
open,50,7,1,1,1,125.167,1,4.029,0,2365,2419,28,2365,1,1,0
open,50,8,1,1,1,205.994,1,17.9834,1,2354,2400,42,2354,3,3,0
open,50,9,1,1,1,29.8915,1,8.0052,1,2531,2509,26,2531,2,2,0
open,50,10,1,1,1,14.1743,1,5.5355,0,2070,2079,26,2072,1,1,0
open,50,11,1,1,1,144.841,1,9.7098,1,2139,2113,33,2139,4,4,0
open,50,12,1,1,1,23.4228,1,3.6777,0,2397,2483,23,2397,1,1,0
open,50,13,1,1,1,107.026,1,3.5625,0,2317,2315,39,2319,1,1,0
open,50,14,1,1,1,236.889,1,3.3874,0,2131,2214,48,2131,1,1,0
open,50,15,1,1,1,5.7824,1,2.8509,0,1961,2056,9,1963,1,1,0
open,50,16,1,1,1,41.9321,1,8.6232,1,1948,1981,28,1948,3,3,0
open,50,17,1,1,1,3.2667,1,5.1559,0,2067,2067,2,2067,1,1,0
open,50,18,1,1,1,72.5108,1,184.977,1,2247,2231,41,2247,4,4,0
open,50,19,1,1,1,128.822,1,4.6228,0,2285,2311,43,2285,2,2,0
open,50,20,1,1,1,145.943,1,4.0865,0,2334,2322,48,2334,2,2,0
open,50,21,1,1,1,7.0192,1,3.4276,0,2331,2337,16,2333,1,1,0
open,50,22,1,1,1,26.169,1,3.4653,0,2428,2461,20,2428,1,1,0
open,50,23,1,1,1,28.6468,1,29.3319,-1,2270,2310,30,2310,30,50,0
open,50,24,1,1,1,16.002,1,3.0484,0,2335,2326,30,2335,1,1,0
open,50,25,1,1,1,284.172,1,9.4173,0,2324,2364,44,2324,4,4,0
open,50,26,1,1,1,53.6991,1,11.5993,1,2161,2182,37,2178,3,3,0
open,50,27,1,1,1,38.6402,1,3.3838,0,2370,2304,43,2370,1,1,0
open,50,28,1,1,1,27.0303,1,4.9434,0,2188,2270,19,2188,1,1,0
open,50,29,1,1,1,48.5866,1,8.6516,1,2327,2190,45,2332,2,2,0
open,50,30,1,1,1,33.1818,1,3.2805,0,2156,2127,44,2156,1,1,0
open,50,31,1,1,1,23.2511,1,7.7378,1,2159,2179,32,2159,2,2,0
open,50,32,1,1,1,71.2653,1,10.0186,1,2464,2396,32,2467,2,2,0
open,50,33,1,1,1,8.8506,1,4.2943,1,2356,2368,13,2368,2,2,0
open,50,34,1,1,1,73.0332,1,4.2614,0,2427,2378,47,2427,2,2,0
open,50,35,1,1,1,291.995,1,35.8109,1,2402,2500,44,2427,6,6,0
open,50,36,1,1,1,6.0629,1,3.3298,0,2323,2384,7,2323,1,1,0
open,50,37,1,1,1,5.586,1,3.6036,0,2340,2340,9,2340,1,1,0
open,50,38,1,1,1,219.21,1,10.8536,1,2383,2424,40,2387,3,3,0
open,50,39,1,1,1,130.092,1,10.0916,1,1932,2013,42,1932,4,4,0
open,50,40,1,1,1,41.7608,1,12.983,1,2451,2460,36,2453,5,5,0
open,50,41,1,1,1,44.7464,1,95.1572,0,2406,2309,30,2406,3,3,0
open,50,42,1,1,1,76.0997,1,4.6619,0,2241,2263,32,2241,1,1,0
