map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,5,0,1,1,1,1.1137,1,0.6849,0,86,86,5,86,2,2,0
open,5,1,1,1,1,1.0063,1,0.4685,0,122,124,3,124,1,1,0
open,5,2,1,1,1,0.4987,1,0.3499,0,111,113,4,113,1,1,0
open,5,3,1,1,1,0.7757,1,1.4339,1,92,92,4,92,2,2,0
open,5,4,1,1,1,1.749,1,0.7405,0,144,146,4,146,1,1,0
open,5,5,1,1,1,0.3843,1,0.5498,0,123,127,1,127,1,1,0
open,5,6,1,1,1,0.5235,1,0.3552,0,85,87,1,87,1,1,0
open,5,7,1,1,1,3.544,1,0.9628,0,122,124,5,124,2,2,0
open,5,8,1,1,1,0.6424,1,0.4358,0,81,81,5,81,1,1,0
open,5,9,1,1,1,1.0618,1,1.8909,1,96,96,2,96,2,2,0
open,5,10,1,1,1,0.3945,1,0.5912,0,118,118,2,118,1,1,0
open,5,11,1,1,1,1.4742,1,0.3334,0,128,128,4,128,1,1,0
open,5,12,1,1,1,0.782,1,0.3069,0,145,145,3,145,1,1,0
open,5,13,1,1,1,0.265,1,1.0124,0,131,131,1,131,1,1,0
open,5,14,1,1,1,0.7043,1,0.2877,0,99,99,4,99,1,1,0
open,5,15,1,1,1,0.3841,1,0.4439,0,108,110,2,110,1,1,0
open,5,16,1,1,1,0.9417,1,0.409,0,126,128,2,128,1,1,0
open,5,17,1,1,1,2.8913,1,0.6707,0,148,148,5,148,1,1,0
open,5,18,1,1,1,0.5784,1,0.4078,0,83,83,3,83,1,1,0
open,5,19,1,1,1,0.631,1,0.9403,0,88,90,1,90,1,1,0
open,5,20,1,1,1,0.2778,1,0.2565,0,100,100,1,100,1,1,0
open,5,21,1,1,1,1.3238,1,0.3141,0,119,121,3,121,1,1,0
open,5,22,1,1,1,1.1738,1,0.3885,0,107,107,5,107,1,1,0
open,5,23,1,1,1,2.4675,1,3.2129,1,152,154,4,154,2,2,0
open,5,24,1,1,1,0.7051,1,0.7869,0,110,112,3,112,1,1,0
open,5,25,1,1,1,0.7593,1,0.5792,0,136,138,2,138,1,1,0
open,5,26,1,1,1,0.3571,1,0.4861,0,171,173,1,173,1,1,0
open,5,27,1,1,1,1.7591,1,0.4592,0,103,103,3,103,1,1,0
open,5,28,1,1,1,0.7641,1,0.7044,0,121,121,3,121,1,1,0
open,5,29,1,1,1,0.3448,1,0.4411,0,109,109,3,109,1,1,0
open,5,30,1,1,1,1.5239,1,0.3185,0,94,94,5,94,1,1,0
open,5,31,1,1,1,2.1271,1,0.8226,0,89,89,2,89,2,2,0
open,5,32,1,1,1,0.5636,1,0.4771,0,87,89,2,89,1,1,0
open,5,33,1,1,1,1.6574,1,0.3334,0,107,107,5,107,1,1,0
open,5,34,1,1,1,1.003,1,1.4702,1,142,148,5,148,3,3,0
open,5,35,1,1,1,0.6058,1,0.4024,0,50,50,2,50,1,1,0
open,5,36,1,1,1,0.9689,1,0.8576,0,116,116,3,116,3,3,0
open,5,37,1,1,1,0.6014,1,0.4553,0,102,102,4,102,1,1,0
open,5,38,1,1,1,0.4029,1,0.2245,0,87,89,2,89,1,1,0
open,5,39,1,1,1,0.467,1,0.2842,0,109,111,2,111,1,1,0
open,5,40,1,1,1,1.1507,1,0.4739,0,98,100,3,100,1,1,0
open,5,41,1,1,1,0.2789,1,0.3194,0,101,103,1,103,1,1,0
open,5,42,1,1,1,0.9652,1,0.641,0,90,90,4,90,1,1,0
open,5,43,1,1,1,0.7194,1,0.5327,0,89,91,2,91,1,1,0
open,5,44,1,1,1,1.8882,1,0.2787,0,78,83,3,78,1,1,0
open,5,45,1,1,1,0.7233,1,0.276,0,73,79,5,75,1,1,0
open,5,46,1,1,1,0.5836,1,0.6735,0,186,188,3,188,1,1,0
open,5,47,1,1,1,2.2022,1,0.9477,0,100,100,2,100,1,1,0
open,5,48,1,1,1,0.3165,1,0.358,0,126,126,1,126,1,1,0
open,5,49,1,1,1,0.5447,1,0.3785,0,98,98,2,98,1,1,0
open,10,0,1,1,1,3.9432,1,3.8057,1,188,208,8,208,3,3,0
open,10,1,1,1,1,1.0099,1,2.4814,1,259,259,4,259,2,2,0
open,10,2,1,1,1,0.9452,1,0.5894,0,245,245,3,245,1,1,0
open,10,3,1,1,1,2.3177,1,1.9892,1,246,268,7,255,3,3,0
open,10,4,1,1,1,1.6583,1,0.5154,0,182,183,7,184,1,1,0
open,10,5,1,1,1,2.7685,1,1.0703,1,220,220,9,220,2,2,0
open,10,6,1,1,1,0.7544,1,0.5358,0,252,254,2,254,1,1,0
open,10,7,1,1,1,3.0316,1,2.4308,0,214,216,3,216,1,1,0
open,10,8,1,1,1,2.0573,1,0.6074,0,245,229,7,245,1,1,0
open,10,9,1,1,1,2.9131,1,0.5855,0,204,204,10,204,1,1,0
open,10,10,1,1,1,3.8922,1,0.6401,0,259,257,9,259,1,1,0
open,10,11,1,1,1,1.2709,1,0.6145,0,215,215,1,215,1,1,0
open,10,12,1,1,1,2.6751,1,0.8166,0,251,264,8,251,1,1,0
open,10,13,1,1,1,9.4741,1,1.1293,0,235,249,7,235,2,2,0
open,10,14,1,1,1,1.416,1,0.5094,0,336,335,6,336,1,1,0
open,10,15,1,1,1,1.0847,1,0.5818,0,195,195,6,197,1,1,0
open,10,16,1,1,1,1.144,1,0.7179,0,221,237,6,221,1,1,0
open,10,17,1,1,1,0.5228,1,0.4741,0,210,210,1,210,1,1,0
open,10,18,1,1,1,0.8736,1,0.5019,0,159,159,5,159,1,1,0
open,10,19,1,1,1,17.3455,1,0.5111,0,239,232,3,239,1,1,0
open,10,20,1,1,1,4.1154,1,0.5397,0,204,204,3,204,1,1,0
open,10,21,1,1,1,0.5523,1,0.5397,0,202,204,1,204,1,1,0
open,10,22,1,1,1,9.624,1,0.9804,0,283,285,7,285,3,3,0
open,10,23,1,1,1,3.3029,1,0.7395,0,280,280,7,280,1,1,0
open,10,24,1,1,1,1.1403,1,0.4327,0,157,159,5,159,1,1,0
open,10,25,1,1,1,1.3117,1,0.5777,0,184,184,5,184,1,1,0
open,10,26,1,1,1,2.0663,1,0.6548,0,256,256,10,256,1,1,0
open,10,27,1,1,1,1.1023,1,0.7678,0,221,221,5,221,2,2,0
open,10,28,1,1,1,0.6641,1,0.7778,0,188,188,3,188,1,1,0
open,10,29,1,1,1,1.3716,1,1.1815,1,221,221,7,221,2,2,0
open,10,30,1,1,1,0.975,1,0.4486,0,196,196,1,196,1,1,0
open,10,31,1,1,1,1.5671,1,0.4397,0,220,222,6,222,1,1,0
open,10,32,1,1,1,3.8706,1,0.816,0,226,223,8,226,1,1,0
open,10,33,1,1,1,0.6411,1,0.4518,0,197,197,2,197,1,1,0
open,10,34,1,1,1,7.6427,1,0.6102,0,156,174,5,158,1,1,0
open,10,35,1,1,1,1.0431,1,0.6036,0,240,240,4,240,1,1,0
open,10,36,1,1,1,3.075,1,0.5334,0,269,271,6,269,1,1,0
open,10,37,1,1,1,1.8335,1,0.4789,0,235,240,6,237,1,1,0
open,10,38,1,1,1,1.2518,1,1.0127,0,320,315,7,322,1,1,0
open,10,39,1,1,1,0.5391,1,0.4508,0,151,153,1,153,1,1,0
open,10,40,1,1,1,0.6279,1,0.4592,0,213,213,1,213,1,1,0
open,10,41,1,1,1,3.1789,1,2.1932,1,294,294,8,294,3,3,0
open,10,42,1,1,1,0.8964,1,0.665,0,188,190,3,190,1,1,0
open,10,43,1,1,1,0.7513,1,0.5085,0,212,212,2,212,1,1,0
open,10,44,1,1,1,0.8965,1,0.6428,0,241,241,2,241,1,1,0
open,10,45,1,1,1,5.0934,1,0.8153,0,223,223,1,223,1,1,0
open,10,46,1,1,1,0.7221,1,0.5877,0,226,228,2,228,1,1,0
open,10,47,1,1,1,2.3832,1,0.7916,0,216,221,9,216,2,2,0
open,10,48,1,1,1,0.741,1,0.8285,0,237,239,2,239,1,1,0
open,10,49,1,1,1,1.1633,1,0.47,0,179,163,7,179,1,1,0
open,20,0,1,1,1,2.9731,1,1.8946,0,497,495,13,497,4,4,0
open,20,1,1,1,1,3.9319,1,2.208,0,419,400,16,419,3,3,0
open,20,2,1,1,1,5.0886,1,1.6635,0,402,394,15,388,2,2,0
open,20,3,1,1,1,26.0264,1,0.9574,0,415,463,14,417,1,1,0
open,20,4,1,1,1,3.4927,1,1.1819,0,378,380,16,380,1,1,0
open,20,5,1,1,1,1.4518,1,0.9696,0,458,460,4,460,1,1,0
open,20,6,1,1,1,5.7699,1,0.9797,0,447,491,13,447,1,1,0
open,20,7,1,1,1,2.0561,1,1.9087,0,439,436,12,441,2,2,0
open,20,8,1,1,1,6.9324,1,1.2658,0,460,454,20,460,1,1,0
open,20,9,1,1,1,3.3688,1,1.7308,0,524,516,15,524,3,3,0
open,20,10,1,1,1,4.3878,1,2.0296,0,514,500,15,516,2,2,0
open,20,11,1,1,1,1.5994,1,1.1496,0,364,364,1,364,1,1,0
open,20,12,1,1,1,1.3167,1,0.9706,0,448,448,6,448,1,1,0
open,20,13,1,1,1,2.6938,1,1.0946,0,468,476,10,468,1,1,0
open,20,14,1,1,1,4.542,1,2.2586,0,422,424,15,424,4,4,0
open,20,15,1,1,1,2.1333,1,0.9663,0,348,358,6,348,1,1,0
open,20,16,1,1,1,1.9159,1,1.2544,0,429,443,8,430,1,1,0
open,20,17,1,1,1,5.1641,1,2.1829,0,429,415,17,433,4,4,0
open,20,18,1,1,1,5.1448,1,1.4481,0,452,442,16,452,2,2,0
open,20,19,1,1,1,3.3478,1,0.8813,0,496,503,8,496,1,1,0
open,20,20,1,1,1,4.7048,1,1.2626,0,510,512,20,510,2,2,0
open,20,21,1,1,1,9.7525,1,14.9036,1,418,430,16,439,3,3,0
open,20,22,1,1,1,16.6676,1,1.0481,0,428,428,16,428,1,1,0
open,20,23,1,1,1,2.1615,1,4.9507,0,458,468,11,460,1,1,0
open,20,24,1,1,1,15.6257,1,1.1457,0,480,473,17,480,2,2,0
open,20,25,1,1,1,16.0081,1,1.0645,0,459,472,13,459,1,1,0
open,20,26,1,1,1,2.1696,1,1.1439,0,479,456,12,481,1,1,0
open,20,27,1,1,1,1.2145,1,1,0,390,392,2,392,2,2,0
open,20,28,1,1,1,4.5195,1,1.8194,1,420,420,16,422,2,2,0
open,20,29,1,1,1,10.5516,1,1.1148,0,412,434,9,412,1,1,0
open,20,30,1,1,1,1.4656,1,1.0228,0,397,397,1,397,1,1,0
open,20,31,1,1,1,2.3603,1,0.8537,0,419,447,7,420,1,1,0
open,20,32,1,1,1,2.1804,1,1.012,0,509,510,7,511,2,2,0
open,20,33,1,1,1,5.29,1,6.7147,2,493,494,19,494,5,5,0
open,20,34,1,1,1,1.6207,1,1.0913,0,469,458,9,471,1,1,0
open,20,35,1,1,1,2.8821,1,1.4035,0,422,424,14,424,3,3,0
open,20,36,1,1,1,8.6599,1,3.0978,2,483,495,14,483,4,4,0
open,20,37,1,1,1,1.8635,1,1.3131,0,427,429,7,429,1,1,0
open,20,38,1,1,1,4.9652,1,1.7019,0,404,404,5,404,2,2,0
open,20,39,1,1,1,6.5806,1,4.6417,1,576,539,19,576,3,3,0
open,20,40,1,1,1,3.6788,1,5.1996,0,438,426,12,440,3,3,0
open,20,41,1,1,1,1.3832,1,1.0873,0,465,465,7,465,1,1,0
open,20,42,1,1,1,4.1513,1,1.026,0,467,478,14,469,1,1,0
open,20,43,1,1,1,2.7919,1,1.3407,0,453,453,12,453,2,2,0
open,20,44,1,1,1,5.5322,1,1.0615,0,477,476,4,477,1,1,0
open,20,45,1,1,1,1.923,1,1.1744,0,436,436,2,436,1,1,0
open,20,46,1,1,1,16.5397,1,53.3761,2,522,573,11,563,4,4,0
open,20,47,1,1,1,66.791,1,1.4189,0,539,526,16,539,2,2,0
open,20,48,1,1,1,2.9277,1,0.8994,0,485,498,15,485,1,1,0
open,20,49,1,1,1,2.5357,1,1.0821,0,370,362,14,372,1,1,0
open,40,0,1,1,1,8.3432,1,2.2557,0,920,896,30,920,1,1,0
open,40,1,1,1,1,17.5025,1,3.6026,1,895,895,11,897,2,2,0
open,40,2,1,1,1,15.6124,1,2.7435,0,796,764,34,780,3,3,0
open,40,3,1,1,1,28.7409,1,2.1647,0,891,902,15,893,1,1,0
open,40,4,1,1,1,26.511,1,3.6294,1,825,857,36,831,2,2,0
open,40,5,1,1,1,68.0876,1,127.804,5,918,980,35,964,8,8,0
open,40,6,1,1,1,5.7914,1,2.7979,0,953,972,8,953,1,1,0
open,40,7,1,1,1,3.1092,1,1.9736,0,847,838,14,847,1,1,0
open,40,8,1,1,1,23.1595,1,7.6855,1,941,938,23,941,3,3,0
open,40,9,1,1,1,11.2738,1,2.0857,0,759,744,20,761,1,1,0
open,40,10,1,1,1,37.4337,1,12.1987,2,1018,1019,33,1025,4,4,0
open,40,11,1,1,1,12.5022,1,2.1902,0,996,1023,31,998,1,1,0
open,40,12,1,1,1,18.1161,1,23.5242,1,1096,1083,35,1098,9,9,0
open,40,13,1,1,1,4.8643,1,2.7387,0,917,888,22,917,1,1,0
open,40,14,1,1,1,6.4587,1,8.4773,0,938,935,29,938,2,2,0
open,40,15,1,1,1,2.3489,1,1.832,0,786,788,1,788,1,1,0
open,40,16,1,1,1,5.1426,1,2.5964,0,774,778,18,774,1,1,0
open,40,17,1,1,1,26.5869,1,2.6314,0,880,907,32,880,2,2,0
open,40,18,1,1,1,7.1843,1,19.2314,2,999,998,27,1031,5,5,0
open,40,19,1,1,1,8.0677,1,2.0887,0,1090,1151,20,1092,1,1,0
open,40,20,1,1,1,15.5446,1,2.3135,0,820,856,30,820,2,2,0
open,40,21,1,1,1,5.2319,1,3.0685,0,1038,1038,20,1039,3,3,0
open,40,22,1,1,1,15.3602,1,3.563,0,909,861,35,909,2,2,0
open,40,23,1,1,1,27.4978,1,5.4592,1,953,968,37,955,3,3,0
open,40,24,1,1,1,3.301,1,2.5406,0,986,988,7,988,2,2,0
open,40,25,1,1,1,4.6463,1,2.9966,0,934,937,15,936,1,1,0
open,40,26,1,1,1,9.7354,1,2.0342,0,925,861,34,927,1,1,0
open,40,27,1,1,1,6.5187,1,5.3113,1,983,976,22,985,5,5,0
open,40,28,1,1,1,3.5531,1,10.6774,1,915,912,7,942,3,3,0
open,40,29,1,1,1,9.1198,1,8.2021,2,857,897,20,872,4,4,0
open,40,30,1,1,1,8.0689,1,2.1583,0,896,930,21,898,1,1,0
open,40,31,1,1,1,12.5368,1,2.2769,0,943,945,1,945,1,1,0
open,40,32,1,1,1,7.8504,1,1.9377,0,1074,1064,15,1074,2,2,0
open,40,33,1,1,1,2.5603,1,2.5269,0,920,920,1,920,1,1,0
open,40,34,1,1,1,9.617,1,2.4385,0,1011,1000,17,1011,2,2,0
open,40,35,1,1,1,5.2068,1,2.1612,0,924,926,16,924,2,2,0
open,40,36,1,1,1,8.2724,1,3.4633,0,951,955,24,951,1,1,0
open,40,37,1,1,1,4.5715,1,2.0567,0,1035,1023,20,1035,1,1,0
open,40,38,1,1,1,14.1108,1,16.6801,3,925,951,25,948,6,6,0
open,40,39,1,1,1,2.5621,1,2.5965,0,875,888,7,875,1,1,0
open,40,40,1,1,1,16.6126,1,9.9536,1,1006,1010,26,999,5,5,0
open,40,41,1,1,1,10.4184,1,4.7068,0,931,947,33,933,3,3,0
open,40,42,1,1,1,37.0063,1,5.4716,1,921,1024,27,936,3,3,0
open,40,43,1,1,1,4.6207,1,1.9268,0,923,905,20,923,1,1,0
open,40,44,1,1,1,2.5774,1,2.291,0,969,971,3,971,1,1,0
open,40,45,1,1,1,9.1949,1,3.789,0,888,877,23,888,3,3,0
open,40,46,1,1,1,27.5294,1,2.0681,0,870,841,15,870,1,1,0
